day,humidity,voltage,quality,
1,25,410,1,
1,24,396,1,
1,25,401,1,
1,25,446,1,
1,23,419,1,
1,26,414,1,
1,25,455,1,
1,28,423,1,
1,23,446,1,
1,23,486,1,
1,24,468,1,
1,28,459,1,
1,22,455,1,
1,25,495,1,
1,23,437,1,
1,26,437,1,
1,22,459,1,
1,25,396,1,
1,28,486,1,
1,22,423,1,
1,28,401,1,
1,27,410,1,
1,23,500,1,
1,23,495,1,
1,26,414,1,
1,26,455,1,
1,22,396,1,
1,23,401,1,
1,25,432,1,
1,23,428,1,
1,26,428,1,
1,28,423,1,
1,26,477,1,
1,26,504,1,
1,28,423,1,
1,27,482,1,
1,27,482,1,
1,23,464,1,
1,23,468,1,
1,27,446,1,
1,25,410,1,
1,25,477,1,
1,24,419,1,
1,26,459,1,
1,28,446,1,
1,27,432,1,
1,22,450,1,
1,27,500,1,
1,25,477,1,
1,28,437,1,
1,26,477,1,
1,27,459,1,
1,28,455,1,
1,26,410,1,
1,26,468,1,
1,27,432,1,
1,22,428,1,
1,26,477,1,
1,22,428,1,
1,27,455,1,
1,28,441,1,
1,25,482,1,
1,26,401,1,
1,23,450,1,
1,27,486,1,
1,23,423,1,
1,27,396,1,
1,25,459,1,
1,23,491,1,
1,23,459,1,
1,24,401,1,
1,26,446,1,
1,23,473,1,
1,27,432,1,
1,24,437,1,
1,23,405,1,
1,26,473,1,
1,25,401,1,
1,25,446,1,
1,26,482,1,
1,24,401,1,
1,24,446,1,
1,27,410,1,
1,26,491,1,
1,24,473,1,
1,24,414,1,
1,27,500,1,
1,25,491,1,
1,24,414,1,
1,28,437,1,
1,27,396,1,
1,27,396,1,
1,27,486,1,
1,28,486,1,
1,25,504,1,
1,25,468,1,
1,25,446,1,
1,25,491,1,
1,26,432,1,
1,26,459,1,
1,25,446,1,
1,25,464,1,
1,25,468,1,
1,26,491,1,
1,27,414,1,
1,24,432,1,
1,25,455,1,
1,24,491,1,
1,28,428,1,
1,26,410,1,
1,25,473,1,
1,23,428,1,
1,27,455,1,
1,27,468,1,
1,23,410,1,
1,23,482,1,
1,23,396,1,
1,26,432,1,
1,22,414,1,
1,27,410,1,
1,27,504,1,
1,26,441,1,
1,26,464,1,
